xcord,ycord,zcord,plot,DBH,scientificname,commonname,year,state,carbon,sizeclass
320403.5307,4092791.055,2116.26,uc3,45.6,Abies concolor,White fir,2002,Live,0.626472435,3
320404.0307,4092790.755,2116.26,uc3,9.3,Abies concolor,White fir,2002,Live,0.012244928,1
320402.6307,4092780.755,2115.34,uc3,29.1,Abies concolor,White fir,2002,Live,0.205816172,2
320444.5307,4092685.855,2099.07,uc3,52.3,Abies concolor,White fir,2002,Live,0.88002541,3
320315.0307,4092804.055,2134.6,uc3,49,Abies concolor,White fir,2002,Live,0.748725283,3
320385.6107,4092749.405,2115.73,uc3,19.7,Abies concolor,White fir,2002,Live,0.078324872,1
320409.1107,4092724.415,2110.4,uc3,26.7,Abies concolor,White fir,2002,Live,0.166294296,2
320414.2707,4092703.785,2107.94,uc3,5.5,Abies concolor,White fir,2002,Live,0.003356606,1
320429.8307,4092653.725,2097.89,uc3,48.2,Abies magnifica,Red fir,2002,Live,0.718786523,3
320429.1507,4092652.735,2098.05,uc3,20.1,Pinus lambertiana,Sugar pine,2002,Dead,0.056751774,2
320427.1207,4092654.655,2098.84,uc3,30.2,Abies magnifica,Red fir,2002,Live,0.225632248,2
320395.1407,4092745.015,2113.71,uc3,10.6,Abies magnifica,Red fir,2002,Live,0.016914644,1
320398.2507,4092746.995,2112.92,uc3,17.7,Abies magnifica,Red fir,2002,Live,0.060093317,1
320389.0907,4092728.925,2114.63,uc3,16.8,Abies concolor,White fir,2002,Live,0.052813304,1
320380.8007,4092712.035,2115.6,uc3,33.5,Pinus lambertiana,Sugar pine,2002,Live,0.248481644,2
320377.7307,4092716.445,2116.56,uc3,36.9,Abies concolor,White fir,2002,Live,0.370703589,2
320381.5207,4092703.965,2114.64,uc3,32.5,Abies concolor,White fir,2002,Live,0.270632882,2
320391.8807,4092670.855,2109.75,uc3,43.9,Abies concolor,White fir,2002,Dead,0.570165424,3
320389.6407,4092670.305,2110.01,uc3,75.1,Abies concolor,White fir,2002,Live,2.158372522,4
320387.3207,4092665.695,2109.89,uc3,53.6,Abies magnifica,Red fir,2002,Dead,0.76978255,3
320386.2207,4092664.775,2109.83,uc3,58.1,Calocedrus decurrens,Jeffrey pine,2002,Live,0.767304402,3
320381.4207,4092666.155,2111.1,uc3,10.7,Abies concolor,White fir,2002,Live,0.017311535,1
320383.5807,4092665.945,2110.48,uc3,20.3,Abies concolor,White fir,2002,Live,0.084363596,2
320383.6307,4092666.475,2110.48,uc3,71.5,Abies concolor,White fir,2002,Live,1.910830276,4
