xcord,ycord,zcord,plot,DBH,scientificname,commonname,year,state,carbon,sizeclass
319839.5393,4092198.812,2036.25,bc1,13,Calocedrus decurrens,Jeffrey pine,2002,Live,0.026242962,1
319839.3993,4092199.132,2036.18,bc1,12.6,Calocedrus decurrens,Jeffrey pine,2002,Live,0.024461104,1
319841.4793,4092191.962,2036.25,bc1,5.4,Abies concolor,White fir,2002,Live,0.00320857,1
319841.2993,4092198.872,2036.32,bc1,30.1,Calocedrus decurrens,Jeffrey pine,2002,Live,0.173991007,2
319839.7493,4092194.932,2036.03,bc1,15.1,Abies concolor,White fir,2002,Live,0.040562026,1
319840.4493,4092183.452,2036.98,bc1,11.9,Abies concolor,White fir,2002,Live,0.022510874,1
319915.3393,4092098.422,2022.04,bc1,44,Abies concolor,White fir,2002,Live,0.573390216,3
319865.3193,4092257.312,2042.73,bc1,17.7,Abies magnifica,Red fir,2002,Live,0.060093317,1
319999.9293,4092081.102,2023.15,bc1,41.6,Abies concolor,White fir,2002,Live,0.498966207,3
320000.3193,4092080.552,2023.15,bc1,13,Abies concolor,White fir,2002,Live,0.028009104,1
319954.5493,4092068.432,2017.66,bc1,16.8,Abies concolor,White fir,2002,Live,0.052813304,1
319954.4093,4092067.912,2017.63,bc1,57.8,Abies concolor,White fir,2002,Live,1.127616303,3
319964.0993,4092064.062,2017.05,bc1,9.5,Abies concolor,White fir,2002,Live,0.012905254,1
319964.0393,4092063.082,2016.86,bc1,23,Abies concolor,White fir,2002,Live,0.114929233,2
319964.8993,4092062.722,2016.88,bc1,34.9,Abies concolor,White fir,2002,Live,0.322888894,2
319962.5393,4092062.652,2016.84,bc1,28.9,Abies concolor,White fir,2002,Live,0.202329594,2
319957.8793,4092060.962,2016.36,bc1,26.1,Abies concolor,White fir,2002,Live,0.157191058,2
319954.9593,4092061.792,2016.44,bc1,21,Abies concolor,White fir,2002,Live,0.09174986,2
319942.1593,4092062.977,2016.24,bc1,55,Abies concolor,White fir,2002,Live,0.996997056,3
319944.5293,4092060.847,2015.91,bc1,112.4,Pinus lambertiana,Sugar pine,2002,Live,4.724098921,6
319916.7693,4092081.052,2020.47,bc1,17.6,Abies concolor,White fir,2002,Live,0.059256628,1
320031.0693,4092105.362,2026.27,bc1,7.2,Abies concolor,White fir,2002,Live,0.006513545,1
320014.4393,4092132.717,2030.14,bc1,74.7,Abies concolor,White fir,2002,Live,2.129976353,4
320013.4193,4092133.702,2030.13,bc1,39.2,N/A,N/A,2002,Live,0.430632974,2
319909.2693,4092136.322,2028.61,bc1,5.2,Abies concolor,White fir,2002,Live,0.002924375,1
319885.1793,4092209.092,2038.49,bc1,16,Abies concolor,White fir,2002,Live,0.046807714,1
319870.5193,4092233.252,2040.79,bc1,6.4,Abies concolor,White fir,2002,Live,0.004873311,1
319892.3493,4092225.182,2039.26,bc1,5.1,Abies concolor,White fir,2002,Live,0.002788147,1
319894.3993,4092229.522,2039.33,bc1,6.3,Abies concolor,White fir,2002,Live,0.004687996,1
319910.5193,4092235.802,2040.37,bc1,94.5,Abies concolor,White fir,2002,Live,3.816040093,5
319908.9693,4092233.032,2040.12,bc1,10,Calocedrus decurrens,Jeffrey pine,2002,Live,0.01454782,1
319918.1593,4092232.982,2040.79,bc1,18.2,Calocedrus decurrens,Jeffrey pine,2002,Live,0.055977148,1
319939.9193,4092211.052,2040.93,bc1,74,Abies concolor,White fir,2002,Live,2.080822249,4
319934.3193,4092063.902,2016.58,bc1,46.8,Abies concolor,White fir,2002,Live,0.668138242,3
319933.7193,4092061.172,2016.2,bc1,8,Abies concolor,White fir,2002,Live,0.008445338,1
319935.4793,4092064.232,2016.52,bc1,17.6,Abies concolor,White fir,2002,Live,0.059256628,1
319935.9793,4092063.462,2016.35,bc1,38.8,Abies concolor,White fir,2002,Live,0.419824288,2
319936.5493,4092064.282,2016.48,bc1,49.6,Abies concolor,White fir,2002,Live,0.77165957,3
319914.3143,4092064.072,2018.71,bc1,62.2,Abies concolor,White fir,2002,Live,1.352581868,4
319919.8593,4092063.012,2018.36,bc1,35.9,Abies concolor,White fir,2002,Live,0.346303669,2
319918.9793,4092064.772,2018.67,bc1,21.9,Abies concolor,White fir,2002,Live,0.101795485,2
319918.4893,4092064.022,2018.57,bc1,39.9,Abies concolor,White fir,2002,Live,0.449944327,2
319917.9393,4092063.352,2018.39,bc1,36.6,Abies concolor,White fir,2002,Live,0.36327939,2
319917.2693,4092064.222,2018.58,bc1,84.8,Abies concolor,White fir,2002,Live,2.917148631,5
319916.6993,4092063.362,2018.4,bc1,20.4,Abies concolor,White fir,2002,Live,0.085396164,2
319917.1193,4092062.982,2018.4,bc1,13,Abies concolor,White fir,2002,Live,0.028009104,1
