xcord,ycord,zcord,plot,DBH,scientificname,commonname,year,state,carbon,sizeclass
320000.6747,4093116.854,2140.04,us3,66,Abies concolor,White fir,2002,Live,1.566830185,4
319998.9747,4093117.554,2140.54,us3,19,Abies concolor,White fir,2002,Live,0.07161536,1
319993.6747,4093118.254,2141.63,us3,5,Abies concolor,White fir,2002,Live,0.002655783,1
319993.1747,4093119.054,2141.6,us3,6,Abies concolor,White fir,2002,Live,0.004157572,1
319998.0747,4093124.554,2140.45,us3,37,Abies concolor,White fir,2002,Live,0.37319827,2
319985.7247,4093125.704,2142.59,us3,8,Abies concolor,White fir,2002,Live,0.008445338,1
319986.1747,4093129.754,2142.68,us3,18,Abies concolor,White fir,2002,Live,0.062645541,1
319988.4747,4093129.754,2142.27,us3,8,Abies concolor,White fir,2002,Live,0.008445338,1
320022.0747,4093089.044,2135.48,us3,6,Abies concolor,White fir,2002,Live,0.004157572,1
320044.9347,4093095.434,2140.27,us3,5,Abies concolor,White fir,2002,Live,0.002655783,1
320045.6947,4093097.284,2140.67,us3,106,Abies concolor,White fir,2002,Live,5.073561471,6
320047.3547,4093096.694,2140.9,us3,6,Abies concolor,White fir,2002,Live,0.004157572,1
320049.4847,4093095.294,2140.72,us3,115,Abies concolor,White fir,2002,Live,6.21008612,6
320051.1947,4093089.754,2140.29,us3,12,Abies concolor,White fir,2002,Live,0.022981268,1
320052.0647,4093093.514,2141.14,us3,38,Abies concolor,White fir,2002,Live,0.398696976,2
320051.2347,4093093.544,2140.96,us3,32,Abies concolor,White fir,2002,Live,0.26043341,2
320051.9247,4093094.074,2141.14,us3,6,Abies concolor,White fir,2002,Live,0.004157572,1
320052.5047,4093097.444,2141.82,us3,15,Abies concolor,White fir,2002,Live,0.039900826,1
320053.5747,4093099.054,2142.33,us3,27,Pinus jeffreyi,Jeffrey pine,2002,Dead,0.147080403,2
320049.8647,4093099.884,2142.18,us3,74,Abies concolor,White fir,2002,Live,2.080822249,4
320047.2547,4093101.264,2142.28,us3,73,Abies concolor,White fir,2002,Live,2.011787134,4
320044.9447,4093100.074,2141.36,us3,37,Abies concolor,White fir,2002,Live,0.37319827,2
320039.9647,4093097.524,2139.94,us3,6,Abies concolor,White fir,2002,Live,0.004157572,1
320041.4847,4093094.144,2139.14,us3,52,Abies concolor,White fir,2002,Live,0.867563695,3
320038.2347,4093094.294,2138.41,us3,127,Abies concolor,White fir,2002,Live,7.943638125,6
320037.4447,4093093.264,2138.19,us3,32,Abies concolor,White fir,2002,Live,0.26043341,2
320033.8047,4093100.314,2138.55,us3,79,Abies concolor,White fir,2002,Live,2.447103616,4
320029.9647,4093095.304,2137.06,us3,29,Abies concolor,White fir,2002,Live,0.204068438,2
320023.8147,4093096.264,2136.63,us3,64,Pinus lambertiana,Sugar pine,2002,Live,1.199811527,4
320025.5847,4093091.264,2136.1,us3,13,Abies concolor,White fir,2002,Live,0.028009104,1
320023.5247,4093098.504,2136.82,us3,74,Abies concolor,White fir,2002,Live,2.080822249,4
320019.6647,4093103.314,2136.92,us3,14,Abies concolor,White fir,2002,Live,0.033641657,1
320032.0847,4093111.704,2140.29,us3,7,Abies concolor,White fir,2002,Live,0.00607676,1
320035.2547,4093106.634,2140.1,us3,24,Abies concolor,White fir,2002,Live,0.127703527,2
320035.6847,4093110.864,2141.08,us3,109,Abies concolor,White fir,2002,Live,5.437209512,6
320035.7447,4093110.124,2140.84,us3,101,Abies concolor,White fir,2002,Live,4.500547926,6
320040.8547,4093106.714,2141.76,us3,31,Abies concolor,White fir,2002,Live,0.240731836,2
320048.8447,4093106.794,2143.24,us3,93,Abies concolor,White fir,2002,Live,3.6675714,5
320041.0647,4093112.414,2142.56,us3,33,Abies concolor,White fir,2002,Live,0.281067139,2
320042.3447,4093113.244,2142.88,us3,9,Abies concolor,White fir,2002,Live,0.011293003,1
320043.3747,4093117.894,2145.02,us3,36,Abies concolor,White fir,2002,Live,0.348699111,2
320067.2847,4093119.824,2146.69,us3,6,Abies concolor,White fir,2002,Live,0.004157572,1
320066.9247,4093116.194,2146.1,us3,7,Abies concolor,White fir,2002,Live,0.00607676,1
320066.5247,4093117.394,2146.24,us3,44,Abies concolor,White fir,2002,Live,0.573390216,3
320058.5547,4093118.334,2146.42,us3,35,Abies concolor,White fir,2002,Live,0.325186417,2
320060.2447,4093121.624,2147.13,us3,57,Abies magnifica,Red fir,2002,Live,1.089315499,3
320048.7047,4093120.274,2146.17,us3,60,Abies concolor,White fir,2002,Live,1.237047097,3
320046.3847,4093118.614,2145.69,us3,12,Abies concolor,White fir,2002,Live,0.022981268,1
320044.7847,4093120.034,2145.62,us3,52,Abies concolor,White fir,2002,Live,0.867563695,3
320044.5847,4093119.564,2145.62,us3,7,Abies concolor,White fir,2002,Dead,0.005590909,1
320046.6147,4093123.224,2146.52,us3,30,Abies concolor,White fir,2002,Live,0.221948298,2
320046.5547,4093122.544,2146.52,us3,33,Abies concolor,White fir,2002,Live,0.281067139,2
320044.5347,4093122.444,2146.06,us3,44,Pinus jeffreyi,Jeffrey pine,2002,Dead,0.459375941,3
320030.2647,4093142.084,2145.87,us3,39,Pinus jeffreyi,Jeffrey pine,2002,Live,0.359611091,2
320035.9247,4093124.314,2144.09,us3,39,Abies concolor,White fir,2002,Live,0.425208128,2
320035.4847,4093124.244,2143.78,us3,35,Abies concolor,White fir,2002,Live,0.325186417,2
320034.3547,4093124.194,2143.48,us3,18,Abies concolor,White fir,2002,Live,0.062645541,1
320031.6547,4093121.344,2142.24,us3,29,Abies concolor,White fir,2002,Live,0.204068438,2
320032.6647,4093119.574,2142.16,us3,14,Abies concolor,White fir,2002,Live,0.033641657,1
320023.9947,4093120.424,2140.81,us3,128,Abies concolor,White fir,2002,Live,8.099694531,6
320025.8947,4093124.904,2141,us3,13,Abies concolor,White fir,2002,Live,0.028009104,1
320027.3647,4093120.444,2140.56,us3,44,Abies concolor,White fir,2002,Live,0.573390216,3
320028.6647,4093121.744,2141.53,us3,8,Abies concolor,White fir,2002,Live,0.008445338,1
320029.9447,4093120.864,2141.74,us3,15,Abies concolor,White fir,2002,Live,0.039900826,1
320030.3947,4093120.904,2141.74,us3,66,Abies concolor,White fir,2002,Live,1.566830185,4
320029.7847,4093121.844,2142.03,us3,37,Abies concolor,White fir,2002,Live,0.37319827,2
320030.6347,4093122.894,2142.44,us3,9,Abies concolor,White fir,2002,Live,0.011293003,1
320033.3547,4093181.954,2152.84,us3,17,Abies concolor,White fir,2002,Live,0.054382707,1
320032.6047,4093132.544,2145.03,us3,33,Abies concolor,White fir,2002,Live,0.281067139,2
320059.5547,4093224.984,2163.42,us3,41,Abies concolor,White fir,2002,Live,0.481318503,3
320041.4147,4093126.674,2146.26,us3,5,Abies concolor,White fir,2002,Live,0.002655783,1
320044.0647,4093129.834,2147.51,us3,15,Abies concolor,White fir,2002,Live,0.039900826,1
320042.5647,4093128.474,2146.87,us3,5,Abies concolor,White fir,2002,Live,0.002655783,1
320041.0347,4093128.204,2146.53,us3,19,Abies concolor,White fir,2002,Live,0.07161536,1
320006.4247,4093239.654,2153.47,us3,46,Calocedrus decurrens,Jeffrey pine,2002,Live,0.452971985,3
320007.2547,4093237.794,2153.25,us3,31,Abies magnifica,Red fir,2002,Live,0.240731836,2
320007.5147,4093236.354,2152.84,us3,27,Abies magnifica,Red fir,2002,Live,0.17096106,2
320009.1647,4093239.594,2153.93,us3,18,Abies concolor,White fir,2002,Live,0.062645541,1
320135.9447,4093197.944,2149.16,us3,10,Abies concolor,White fir,2002,Live,0.014647586,1
320135.5747,4093200.444,2149.49,us3,38,Abies concolor,White fir,2002,Live,0.398696976,2
320135.3847,4093199.864,2149.78,us3,121,Abies concolor,White fir,2002,Dead,6.731698398,6
320123.0447,4093224.224,2155.42,us3,17,Quercus kelloggii,California black oak,2002,Live,0.078850216,1
320126.4147,4093220.184,2154.36,us3,53,Abies concolor,White fir,2002,Live,0.909516447,3
320125.9925,4093226.506,2154.78,us3,75,Abies concolor,White fir,2002,Live,2.151252428,4
320114.3425,4093238.406,2159.82,us3,5.8,Abies concolor,White fir,2002,Live,0.003824892,1
320116.1325,4093237.726,2159.11,us3,16.1,Abies concolor,White fir,2002,Live,0.047534818,1
320112.1825,4093256.516,2163.93,us3,17,Abies concolor,White fir,2002,Live,0.054382707,1
320115.2125,4093252.546,2162.52,us3,7.2,Pinus jeffreyi,Jeffrey pine,2002,Live,0.005958919,1
320117.0125,4093262.576,2162.57,us3,8,Pinus spp.,Pine,2002,Live,0.00768846,1
320116.6325,4093263.456,2162.57,us3,16.8,Abies concolor,White fir,2002,Live,0.052813304,1
320114.7425,4093261.576,2162.71,us3,58.8,Pinus spp.,Pine,2002,Live,0.976273931,3
320115.5625,4093262.236,2162.58,us3,10,Abies concolor,White fir,2002,Live,0.014647586,1
320130.3925,4093258.286,2159.75,us3,10.8,Pinus spp.,Pine,2002,Live,0.01590292,1
320127.3225,4093260.556,2160.58,us3,13.4,Pinus spp.,Pine,2002,Live,0.026831472,1
320134.6425,4093265.866,2160.82,us3,38,Abies concolor,White fir,2002,Live,0.398696976,2
320106.8025,4093227.586,2160.87,us3,50,Calocedrus decurrens,Jeffrey pine,2002,Live,0.546756912,3
320106.4125,4093225.886,2161.33,us3,60,Abies concolor,White fir,2002,Live,1.237047097,3
320105.4925,4093227.196,2161.44,us3,60,Abies concolor,White fir,2002,Live,1.237047097,3
320050.8325,4093138.676,2150.46,us3,11.9,Abies concolor,White fir,2002,Live,0.022510874,1
320017.2325,4093110.826,2137.93,us3,72.6,Abies concolor,White fir,2002,Live,1.984561669,4
320017.8825,4093113.776,2138.31,us3,5,Abies concolor,White fir,2002,Live,0.002655783,1
320000.1325,4093096.126,2139.32,us3,55,Abies concolor,White fir,2002,Live,0.996997056,3
320009.9325,4093104.326,2137.67,us3,28.7,Abies concolor,White fir,2002,Live,0.19887852,2
320010.7325,4093101.926,2137.41,us3,29.1,Abies concolor,White fir,2002,Live,0.205816172,2
320006.1325,4093101.726,2137.82,us3,15.7,Abies concolor,White fir,2002,Live,0.044666411,1
320003.6325,4093103.426,2138.27,us3,38.7,Abies concolor,White fir,2002,Live,0.417147715,2
320004.2325,4093102.926,2138.27,us3,21.1,Abies concolor,White fir,2002,Live,0.092835356,2
320002.4325,4093103.376,2138.71,us3,16,Abies concolor,White fir,2002,Live,0.046807714,1
320000.3325,4093103.526,2139.3,us3,15,Abies concolor,White fir,2002,Dead,0.039900826,1
319972.4325,4093109.526,2142.21,us3,31.9,Abies concolor,White fir,2002,Live,0.258421537,2
319971.4325,4093108.626,2142.15,us3,35.3,Abies concolor,White fir,2002,Live,0.332137433,2
319968.8825,4093116.226,2143.4,us3,30.6,Abies concolor,White fir,2002,Live,0.233109055,2
319946.2325,4093132.326,2144.62,us3,7.5,Abies concolor,White fir,2002,Live,0.007202971,1
319970.0325,4093136.726,2144.68,us3,9.2,Abies concolor,White fir,2002,Dead,0.011922505,1
319958.4325,4093125.726,2145.19,us3,8.9,N/A,N/A,2002,Dead,0.010985871,1
320002.8325,4093167.126,2143.74,us3,40.7,Pinus lambertiana,Sugar pine,2002,Live,0.398930481,3
320001.3325,4093164.876,2142.93,us3,26.3,Pinus jeffreyi,Jeffrey pine,2002,Live,0.137983622,2
320006.9825,4093130.926,2140.83,us3,12.3,Abies concolor,White fir,2002,Live,0.024427461,1
320020.2325,4093124.226,2140.6,us3,63.9,Abies concolor,White fir,2002,Live,1.446107053,4
320013.1325,4093119.126,2139.44,us3,10.9,Calocedrus decurrens,Jeffrey pine,2002,Live,0.017657071,1
320013.9325,4093109.276,2137.81,us3,18.4,Abies concolor,White fir,2002,Live,0.066147577,1
319971.8825,4093191.716,2144.7,us3,77.9,Abies concolor,White fir,2002,Live,2.363472239,4
319979.5225,4093196.536,2145,us3,7.3,Abies concolor,White fir,2002,Dead,0.006738757,1
