xcord,ycord,zcord,plot,DBH,scientificname,commonname,year,state,carbon,sizeclass
320213.9701,4091991.88,2023.22,bs2,32.7,Abies concolor,White fir,2002,Live,0.274778313,2
320186.9001,4091986.15,2022.63,bs2,6.3,Calocedrus decurrens,Jeffrey pine,2002,Live,0.005159477,1
320237.3901,4091988.09,2020.23,bs2,12.4,Abies concolor,White fir,2002,Live,0.024921273,1
320236.7401,4091987.65,2020.23,bs2,8.7,Abies concolor,White fir,2002,Live,0.010386711,1
320236.8701,4091986.44,2020.01,bs2,6.1,Abies concolor,White fir,2002,Live,0.00433016,1
320235.1501,4091986.13,2020.05,bs2,23.3,Abies concolor,White fir,2002,Live,0.118677256,2
320217.7401,4091970.22,2020.14,bs2,16.9,Abies concolor,White fir,2002,Live,0.053594575,1
320210.2501,4091971.25,2020.18,bs2,20.6,Abies concolor,White fir,2002,Live,0.087483842,2
320208.4601,4091975.32,2020.73,bs2,9.1,Abies concolor,White fir,2002,Live,0.011605205,1
320212.2401,4091973.65,2020.24,bs2,10.3,Abies concolor,White fir,2002,Live,0.015756775,1
320217.3801,4091979.99,2020.55,bs2,136.3,Calocedrus decurrens,Jeffrey pine,2002,Live,5.261370957,6
320219.9401,4091981.03,2020.46,bs2,89.8,Calocedrus decurrens,Jeffrey pine,2002,Live,2.050585771,5
320210.0201,4091994.4,2023.05,bs2,17.1,Abies concolor,White fir,2002,Live,0.055177717,1
320205.5801,4091986.31,2022.01,bs2,8.2,Abies concolor,White fir,2002,Live,0.008975629,1
320166.7401,4091973.93,2021.95,bs2,21.8,Abies concolor,White fir,2002,Live,0.100648458,2
320158.0701,4091972.26,2021.37,bs2,9.9,Abies concolor,White fir,2002,Live,0.014288557,1
320154.6701,4091969.35,2020.77,bs2,9.2,Abies concolor,White fir,2002,Live,0.011922505,1
320153.9201,4091970.64,2020.8,bs2,30.7,Abies concolor,White fir,2002,Live,0.235001029,2
320154.0701,4091971.81,2020.94,bs2,144.3,Calocedrus decurrens,Jeffrey pine,2002,Live,5.984667759,6
320175.5801,4091987.13,2023.94,bs2,20.3,Abies concolor,White fir,2002,Live,0.084363596,2
320170.5801,4091986.62,2023.86,bs2,46.1,Abies concolor,White fir,2002,Live,0.643638621,3
320171.0101,4091987.1,2023.86,bs2,38.9,Abies concolor,White fir,2002,Live,0.422511088,2
320212.4601,4091999.33,2023.59,bs2,32.3,Abies concolor,White fir,2002,Live,0.266525016,2
320210.7301,4091998.52,2023.68,bs2,35.8,Abies concolor,White fir,2002,Live,0.343918077,2
320210.2101,4092000.64,2024.04,bs2,19.3,N/A,N/A,2002,Dead,0.074446963,1
320215.1401,4092007.98,2024.54,bs2,27.5,Abies concolor,White fir,2002,Live,0.17891102,2
320190.9801,4092004.63,2025.33,bs2,8.5,Calocedrus decurrens,Jeffrey pine,2002,Live,0.010098887,1
320181.8101,4092002.27,2025.16,bs2,109.5,Abies concolor,White fir,2002,Live,5.49928281,6
320183.3201,4092002.28,2025.13,bs2,18.2,Abies concolor,White fir,2002,Live,0.064382343,1
320197.6501,4091986.59,2022.43,bs2,34.6,Abies concolor,White fir,2002,Live,0.316054583,2
320199.9501,4091988.61,2022.72,bs2,32.1,Abies concolor,White fir,2002,Live,0.262454605,2
320195.2701,4091988.68,2022.82,bs2,13.2,Abies concolor,White fir,2002,Dead,0.027350254,1
320196.6701,4091991.65,2023.2,bs2,15.3,Abies concolor,White fir,2002,Live,0.041903941,1
320200.7801,4091992.19,2023.21,bs2,26,Abies concolor,White fir,2002,Dead,0.147803462,2
320199.9001,4091992.65,2023.33,bs2,68.7,Abies concolor,White fir,2002,Live,1.730613785,4
320190.8201,4091998.81,2024.33,bs2,17.4,Abies concolor,White fir,2002,Dead,0.057604215,1
320189.9601,4091997.05,2024.09,bs2,59,Abies concolor,White fir,2002,Live,1.186555621,3
320191.6501,4091995.06,2023.64,bs2,28.5,Abies concolor,White fir,2002,Live,0.195462832,2
320188.8901,4091993.83,2023.63,bs2,27,Abies concolor,White fir,2002,Dead,0.162340566,2
320189.0401,4091994.63,2023.77,bs2,7.3,Abies concolor,White fir,2002,Live,0.006738757,1
320185.9401,4091992.94,2023.88,bs2,7.2,Abies concolor,White fir,2002,Live,0.006513545,1
320187.6101,4091997.69,2024.24,bs2,49,Abies concolor,White fir,2002,Live,0.748725283,3
320186.8601,4091998.96,2024.29,bs2,22.2,Abies concolor,White fir,2002,Live,0.105283244,2
320180.3401,4091994.77,2024.45,bs2,22.9,Abies concolor,White fir,2002,Live,0.113695821,2
320175.8101,4091998.87,2025.15,bs2,5.3,Abies concolor,White fir,2002,Live,0.003064505,1
320171.4501,4091999.6,2025.47,bs2,6.2,Abies concolor,White fir,2002,Live,0.004506957,1
320170.3301,4091999.13,2025.4,bs2,6.5,Abies concolor,White fir,2002,Live,0.005062932,1
320159.6601,4092019.73,2027.67,bs2,13.5,Abies concolor,White fir,2002,Live,0.030748402,1
320148.4301,4092015.17,2026.35,bs2,6.8,Abies concolor,White fir,2002,Live,0.005657959,1
320148.2601,4092014.11,2026.15,bs2,11,Abies concolor,White fir,2002,Live,0.01853536,1
320150.9601,4092012.7,2026.21,bs2,6.1,Abies concolor,White fir,2002,Live,0.00433016,1
