x,y,fire,year
4,344,1.2963,2010
5,344,1,2010
7,344,1.42,2010
8,344,1.32292,2010
9,344,2.58621,2010
10,344,3.21759,2010
11,344,3.67411,2010
12,344,4.20455,2010
19,344,1,2010
20,344,1.02985,2010
22,344,3,2010
23,344,2.88,2010
24,344,2.71429,2010
26,344,2.44444,2010
33,344,1.1039,2010
34,344,1.21759,2010
35,344,2.23333,2010
38,344,3.92857,2010
39,344,3.67308,2010
40,344,3.83333,2010
41,344,3.46512,2010
42,344,3.56618,2010
43,344,3.76852,2010
44,344,3.42424,2010
45,344,3.30769,2010
53,344,1,2010
54,344,1.5,2010
55,344,2.37179,2010
56,344,1.80851,2010
57,344,2.7377,2010
59,344,3.5,2010
1,343,3.16129,2010
2,343,3.87786,2010
3,343,3.98016,2010
4,343,3.5339,2010
7,343,1.05357,2010
8,343,1.20833,2010
9,343,4.16327,2010
10,343,4.32576,2010
11,343,3.96269,2010
12,343,4.01351,2010
19,343,1.66667,2010
20,343,1.08571,2010
33,343,2.14286,2010
34,343,2.74419,2010
35,343,3.21168,2010
36,343,3.84375,2010
37,343,3.54167,2010
38,343,3.38095,2010
40,343,3.30909,2010
41,343,3.47445,2010
42,343,3.48276,2010
43,343,3.7,2010
44,343,3.51079,2010
45,343,2.78472,2010
46,343,1,2010
52,343,1.6,2010
53,343,1.33333,2010
54,343,1.84127,2010
55,343,2,2010
56,343,1.91176,2010
57,343,2.88889,2010
58,343,2.84211,2010
59,343,2.87931,2010
1,342,2.42438,2010
2,342,2.58204,2010
3,342,2.42979,2010
4,342,3.52459,2010
7,342,1,2010
8,342,1.8625,2010
9,342,4.07759,2010
10,342,4.1203,2010
11,342,3.23601,2010
12,342,3.91964,2010
14,342,4.54839,2010
15,342,1.44444,2010
18,342,1.02703,2010
19,342,1.04396,2010
20,342,2.03846,2010
21,342,3.07018,2010
22,342,3.49206,2010
23,342,3.66667,2010
24,342,3.83333,2010
27,342,1,2010
33,342,3.71429,2010
34,342,3.78358,2010
35,342,3.68116,2010
36,342,3.51679,2010
37,342,3.63768,2010
38,342,3.52273,2010
39,342,3.59091,2010
40,342,3.55,2010
41,342,3.47445,2010
42,342,3.07836,2010
43,342,3.64706,2010
44,342,2.9539,2010
45,342,2.19231,2010
46,342,1.06132,2010
47,342,1,2010
52,342,1.25,2010
53,342,1.39506,2010
54,342,1.83544,2010
55,342,2.17442,2010
56,342,2.45098,2010
57,342,2.88235,2010
58,342,2.77647,2010
59,342,2.78986,2010
1,341,2.36364,2010
2,341,2.43974,2010
3,341,3.09236,2010
4,341,3.40244,2010
5,341,3.40625,2010
7,341,1,2010
8,341,1.03043,2010
9,341,2.01456,2010
10,341,4.02439,2010
11,341,2.32203,2010
12,341,3.58235,2010
13,341,3.64535,2010
