x,y,fire,year
56,346,2.17647,2010
57,346,3.40299,2010
58,346,3.14545,2010
59,346,3.375,2010
3,345,3.06,2010
4,345,3,2010
5,345,4.22414,2010
6,345,3.86975,2010
7,345,3.60256,2010
8,345,3.67176,2010
9,345,3.15,2010
10,345,3.08264,2010
11,345,3.26667,2010
19,345,4.5,2010
20,345,2.25,2010
21,345,4.28571,2010
22,345,3.42708,2010
23,345,1.15,2010
24,345,2.19231,2010
25,345,1.3617,2010
26,345,1.14085,2010
28,345,3.83333,2010
29,345,3.88077,2010
30,345,3.46127,2010
31,345,2.44345,2010
32,345,2.9084,2010
33,345,3.45902,2010
34,345,3.72414,2010
35,345,4,2010
38,345,1,2010
39,345,2.08511,2010
40,345,2.33333,2010
42,345,4.05263,2010
43,345,3.94203,2010
44,345,3.93525,2010
45,345,2.59946,2010
46,345,3.54688,2010
47,345,2.61111,2010
48,345,2.26923,2010
50,345,1,2010
51,345,1,2010
54,345,1.41667,2010
55,345,1.61017,2010
56,345,2.25,2010
57,345,3.33333,2010
58,345,3.63889,2010
59,345,3.23656,2010
60,345,3,2010
1,344,3,2010
2,344,2.85417,2010
3,344,2.95255,2010
4,344,2.93103,2010
6,344,3.89024,2010
7,344,3.58779,2010
8,344,3.09783,2010
9,344,2.45726,2010
10,344,3.31982,2010
11,344,3.08571,2010
18,344,3.57447,2010
19,344,2.94681,2010
20,344,2.4,2010
21,344,3.75207,2010
22,344,4,2010
23,344,1,2010
24,344,1,2010
25,344,1,2010
26,344,1.37931,2010
27,344,4,2010
28,344,2.76712,2010
29,344,3.11069,2010
30,344,3.55674,2010
31,344,3.7554,2010
32,344,3.83696,2010
33,344,3.992,2010
34,344,3.616,2010
35,344,3.26271,2010
36,344,4.25,2010
39,344,3.16667,2010
40,344,3.62069,2010
41,344,4.27193,2010
42,344,4.18548,2010
43,344,4.07944,2010
44,344,3.2069,2010
45,344,3.2,2010
46,344,3.82407,2010
47,344,2.92308,2010
48,344,2.1619,2010
49,344,1.21429,2010
54,344,1.5098,2010
55,344,1.69444,2010
56,344,3,2010
58,344,3.83333,2010
59,344,2.08333,2010
60,344,1.32143,2010
1,343,2.54098,2010
2,343,2.26019,2010
3,343,2.45503,2010
4,343,3.22321,2010
5,343,4.48438,2010
6,343,3.94444,2010
7,343,3.96538,2010
8,343,3.43798,2010
9,343,3.50847,2010
10,343,3.72727,2010
11,343,3.43902,2010
17,343,3.07353,2010
18,343,2.97721,2010
19,343,2.69512,2010
20,343,2.52734,2010
21,343,3.39362,2010
22,343,3.23404,2010
23,343,3.60714,2010
27,343,3.375,2010
28,343,2.71429,2010
29,343,2.71923,2010
30,343,3.39231,2010
31,343,3.51799,2010
32,343,3.68504,2010
33,343,3.35338,2010
34,343,3.60078,2010
35,343,3.82042,2010
36,343,4.02381,2010
37,343,3.692,2010
38,343,3.18182,2010
39,343,4,2010
40,343,3.98571,2010
41,343,4.42336,2010
42,343,4.39655,2010
43,343,4.5,2010
44,343,4,2010
46,343,3.10156,2010
47,343,3.66923,2010
48,343,3.25532,2010
53,343,1.25,2010
54,343,1.46269,2010
55,343,1.75,2010
56,343,2,2010
59,343,1.83562,2010
60,343,1.94348,2010
61,343,2.25,2010
1,342,2.05093,2010
2,342,2.19106,2010
3,342,2.6706,2010
4,342,3.43333,2010
5,342,2.81466,2010
6,342,3.74427,2010
7,342,3.95255,2010
8,342,3.33929,2010
9,342,3.59091,2010
10,342,3.6036,2010
11,342,4,2010
17,342,2.69676,2010
18,342,3.03184,2010
19,342,3.34988,2010
20,342,3.51852,2010
21,342,3.22222,2010
22,342,3.61364,2010
23,342,3.625,2010
24,342,3.48387,2010
28,342,2.90909,2010
29,342,2.79167,2010
30,342,3.18229,2010
31,342,3.47934,2010
32,342,3.26984,2010
33,342,2.75368,2010
34,342,3.65441,2010
35,342,4.01087,2010
36,342,3.96642,2010
37,342,4.05435,2010
38,342,3.86466,2010
39,342,4.42241,2010
40,342,4.25524,2010
41,342,4.19708,2010
42,342,4.24242,2010
43,342,4.42857,2010
44,342,2.94444,2010
45,342,3.01124,2010
46,342,2.67742,2010
47,342,4,2010
53,342,1.25,2010
54,342,1.32877,2010
55,342,2.02532,2010
56,342,2.6,2010
59,342,1.90909,2010
60,342,2.03804,2010
61,342,2.33571,2010
1,341,2.14286,2010
2,341,2.4375,2010
3,341,3.45723,2010
4,341,4.08065,2010
5,341,3.71129,2010
6,341,3.90196,2010
7,341,3.84672,2010
8,341,3.02966,2010
9,341,3.20395,2010
10,341,3.5,2010
16,341,4.04167,2010
17,341,4.24762,2010
18,341,4.02252,2010
19,341,3.74647,2010
20,341,3.66667,2010
21,341,3.58571,2010
22,341,3.60993,2010
23,341,3.3125,2010
24,341,3.67157,2010
29,341,3.45455,2010
30,341,3.49612,2010
31,341,3.5035,2010
32,341,3.52542,2010
33,341,3.28148,2010
34,341,3.94718,2010
35,341,4.10336,2010
36,341,3.96124,2010
37,341,3.95714,2010
38,341,4.13043,2010
39,341,3.91322,2010
40,341,3.46043,2010
41,341,4.27273,2010
42,341,4.31818,2010
43,341,1.63095,2010
44,341,3.02101,2010
45,341,3.06504,2010
46,341,2.77551,2010
54,341,1.5,2010
55,341,3.18868,2010
56,341,3.11111,2010
60,341,2.36111,2010
61,341,2.22222,2010
62,341,2.10811,2010
2,340,2.04762,2010
3,340,4.03302,2010
4,340,3.95503,2010
5,340,4.07436,2010
6,340,4.18421,2010
7,340,3.86667,2010
8,340,3.58194,2010
9,340,2.90675,2010
15,340,4.33333,2010
16,340,4.51304,2010
17,340,4.23828,2010
18,340,3.5141,2010
19,340,3.23819,2010
20,340,2.90988,2010
21,340,2.95349,2010
22,340,3.26562,2010
23,340,2.51103,2010
24,340,1.17742,2010
27,340,1,2010
30,340,3.66667,2010
31,340,3.52,2010
32,340,3.21,2010
33,340,3.61232,2010
34,340,4.15423,2010
35,340,4.04623,2010
36,340,3.81855,2010
37,340,3.85294,2010
38,340,4.31752,2010
39,340,3.85821,2010
40,340,3.94583,2010
41,340,4.29213,2010
42,340,1.26582,2010
43,340,1.27391,2010
44,340,2.44595,2010
45,340,2.96296,2010
46,340,2.59091,2010
55,340,3.91071,2010
56,340,3.84746,2010
57,340,1.11765,2010
58,340,1.6,2010
60,340,2,2010
61,340,1.53846,2010
62,340,2,2010
63,340,3.95082,2010
64,340,3.8,2010
1,339,1,2010
2,339,1,2010
3,339,4.06044,2010
4,339,3.83452,2010
5,339,3.8729,2010
6,339,4.0315,2010
7,339,3.98433,2010
8,339,3.76603,2010
9,339,3.27056,2010
13,339,3.75,2010
14,339,3.33333,2010
16,339,2.68033,2010
17,339,3.07812,2010
18,339,4.34314,2010
19,339,2.62305,2010
20,339,1.16505,2010
21,339,2.75,2010
22,339,2.6,2010
23,339,2.4375,2010
24,339,1,2010
27,339,1,2010
28,339,1,2010
32,339,3.25,2010
33,339,3.21774,2010
34,339,3.77778,2010
35,339,4.06195,2010
36,339,3.58953,2010
37,339,3.83571,2010
38,339,4.19485,2010
39,339,3.93561,2010
40,339,4.26812,2010
41,339,4.0122,2010
42,339,2.29167,2010
43,339,1,2010
45,339,3.76471,2010
55,339,4.08163,2010
56,339,4,2010
57,339,2.5641,2010
58,339,1,2010
62,339,4.2,2010
63,339,3.35393,2010
64,339,2.32281,2010
65,339,1.94,2010
3,338,3.87647,2010
4,338,3.66291,2010
5,338,3.83806,2010
6,338,3.97964,2010
7,338,4.26531,2010
8,338,4.19863,2010
9,338,3.51316,2010
10,338,1.4375,2010
11,338,1.4,2010
12,338,2.34375,2010
13,338,2.35985,2010
14,338,2.02222,2010
15,338,1.16883,2010
16,338,1,2010
17,338,1,2010
19,338,1,2010
20,338,1,2010
25,338,1.54545,2010
26,338,1,2010
27,338,1,2010
30,338,1,2010
32,338,3,2010
33,338,3.10656,2010
34,338,3.44094,2010
35,338,3.74793,2010
36,338,3.53704,2010
37,338,3.72695,2010
38,338,2.77465,2010
39,338,3.3629,2010
40,338,3.88889,2010
41,338,4,2010
44,338,2.83333,2010
45,338,2.5,2010
48,338,2.14286,2010
50,338,3.3,2010
51,338,3.6,2010
52,338,3.80769,2010
53,338,3.85714,2010
54,338,4,2010
63,338,3.97297,2010
64,338,3.08333,2010
65,338,1.99291,2010
66,338,2.2,2010
2,337,2.9,2010
3,337,2.96591,2010
4,337,2.93043,2010
5,337,3.91322,2010
6,337,4.06667,2010
7,337,4.10256,2010
8,337,3.14789,2010
9,337,3.1413,2010
10,337,2.13924,2010
11,337,1.90805,2010
12,337,1.74,2010
13,337,1.21642,2010
14,337,1.41803,2010
15,337,1.72388,2010
16,337,1.97414,2010
17,337,1.78365,2010
24,337,1.875,2010
25,337,1.59633,2010
26,337,2.18519,2010
27,337,1.77778,2010
29,337,1,2010
30,337,1,2010
33,337,3.07143,2010
34,337,3.58621,2010
35,337,1.38462,2010
36,337,1.46392,2010
37,337,2.91758,2010
38,337,2.28929,2010
39,337,2.99621,2010
43,337,2.4,2010
44,337,2.40984,2010
45,337,2.03077,2010
47,337,2.72727,2010
48,337,2.22807,2010
49,337,2.01639,2010
50,337,3.26882,2010
51,337,3.50667,2010
52,337,3.81034,2010
53,337,3.74468,2010
54,337,4,2010
64,337,3.43939,2010
65,337,2.18382,2010
66,337,2.7377,2010
2,336,2.2,2010
3,336,2.41667,2010
4,336,3.86111,2010
5,336,4.28571,2010
6,336,4.19101,2010
7,336,4.32099,2010
8,336,3.82632,2010
9,336,2.70556,2010
10,336,2.27446,2010
11,336,2.15513,2010
12,336,2,2010
13,336,1,2010
14,336,2.56,2010
15,336,2.45023,2010
16,336,2.19925,2010
17,336,2.28049,2010
18,336,3,2010
24,336,2,2010
25,336,1.81905,2010
26,336,2.07207,2010
27,336,2.17391,2010
30,336,1,2010
31,336,1,2010
32,336,1,2010
37,336,3.7,2010
38,336,3.45985,2010
39,336,3.85714,2010
43,336,2.2,2010
44,336,1.92941,2010
45,336,2.25,2010
46,336,2.2,2010
47,336,1.42466,2010
48,336,2.43307,2010
49,336,1.92157,2010
50,336,2.85326,2010
51,336,2.96951,2010
52,336,3.73333,2010
53,336,3.75362,2010
54,336,4.5,2010
65,336,1,2010
66,336,4,2010
67,336,4,2010
